county,precinct,office,district,party,candidate,total_votes
Atkinson,,Commissioner of Labor,,Democrat,"William """"Will"""" Boddie, Jr",447
Atkinson,,Commissioner of Labor,,Libertarian,Emily Anderson,32
Bacon,,U.S. Senate,,Republican,Herschel Junior Walker,3204
Bacon,,U.S. Senate,,Democrat,Raphael Warnock (I),458
Bacon,,U.S. Senate,,,Chase Oliver (L),48
Bacon,,Governor,,Republican,Brian Kemp (I),3312
Bacon,,Governor,,Democrat,Stacey Abrams,393
Bacon,,Governor,,,Shane Hazel (L),16
Bacon,,Lieutenant Governor,,Republican,Burt Jones,3228
Bacon,,Lieutenant Governor,,Democrat,Charlie Bailey,390
Bacon,,Lieutenant Governor,,,Ryan Graham (L),49
Bacon,,Secretary of State,,Republican,Brad Raffensperger (I),3176
Bacon,,Secretary of State,,Democrat,Bee Nguyen,357
Bacon,,Secretary of State,,,Ted Metz (L),107
Bacon,,Attorney General,,Republican,Chris Carr (I),3236
Bacon,,Attorney General,,Democrat,"Jennifer """"Jen"""" Jordan",404
Bacon,,Attorney General,,,Martin Cowen (L),34
Bacon,,Commissioner of Agriculture,,Republican,Tyler Harper,3329
Bacon,,Commissioner of Agriculture,,Democrat,Nakita Hemingway,345
Bacon,,Commissioner of Agriculture,,,David Raudabaugh (L),22
Bacon,,Commissioner of Insurance,,Republican,John King (I),3263
Bacon,,Commissioner of Insurance,,Democrat,Janice Laws Robinson,385
Bacon,,State School Superintendent,,Republican,Richard Woods (I),3269
Bacon,,State School Superintendent,,Democrat,Alisha Thomas Searcy,386
Bacon,,Commissioner of Labor,,Republican,Bruce Thompson,3232
Bacon,,Commissioner of Labor,,Democrat,"William """"Will"""" Boddie, Jr",378
Bacon,,Commissioner of Labor,,,Emily Anderson (L),46
Baker,,U.S. Senate,,Republican,Herschel Junior Walker,711
Baker,,U.S. Senate,,Democrat,Raphael Warnock (I),526
Baker,,U.S. Senate,,,Chase Oliver (L),12
Baker,,Governor,,Republican,Brian Kemp (I),755
Baker,,Governor,,Democrat,Stacey Abrams,500
Baker,,Governor,,,Shane Hazel (L),3
Baker,,Lieutenant Governor,,Republican,Burt Jones,740
Baker,,Lieutenant Governor,,Democrat,Charlie Bailey,478
Baker,,Lieutenant Governor,,,Ryan Graham (L),9
Baker,,Secretary of State,,Republican,Brad Raffensperger (I),738
Baker,,Secretary of State,,Democrat,Bee Nguyen,470
Baker,,Secretary of State,,,Ted Metz (L),23
Baker,,Attorney General,,Republican,Chris Carr (I),753
Baker,,Attorney General,,Democrat,"Jennifer """"Jen"""" Jordan",473
Baker,,Attorney General,,,Martin Cowen (L),12
Baker,,Commissioner of Agriculture,,Republican,Tyler Harper,751
Baker,,Commissioner of Agriculture,,Democrat,Nakita Hemingway,466
Baker,,Commissioner of Agriculture,,,David Raudabaugh (L),17
Baker,,Commissioner of Insurance,,Republican,John King (I),749
Baker,,Commissioner of Insurance,,Democrat,Janice Laws Robinson,471
Baker,,State School Superintendent,,Republican,Richard Woods (I),750
Baker,,State School Superintendent,,Democrat,Alisha Thomas Searcy,476
Baker,,Commissioner of Labor,,Republican,Bruce Thompson,739
Baker,,Commissioner of Labor,,Democrat,"William """"Will"""" Boddie, Jr",476
Baker,,Commissioner of Labor,,,Emily Anderson (L),15
Baldwin,,U.S. Senate,,Republican,Herschel Junior Walker,7416
Baldwin,,U.S. Senate,,Democrat,Raphael Warnock (I),7327
Baldwin,,U.S. Senate,,Libertarian,Chase Oliver,214
Baldwin,,Governor,,Republican,Brian Kemp (I),7987
Baldwin,,Governor,,Democrat,Stacey Abrams,6913
Baldwin,,Governor,,Libertarian,Shane Hazel,102
Baldwin,,Lieutenant Governor,,Republican,Burt Jones,7785
Baldwin,,Lieutenant Governor,,Democrat,Charlie Bailey,6744
Baldwin,,Lieutenant Governor,,Libertarian,Ryan Graham,242
Baldwin,,Secretary of State,,Republican,Brad Raffensperger (I),7826
Baldwin,,Secretary of State,,Democrat,Bee Nguyen,6463
Baldwin,,Secretary of State,,Libertarian,Ted Metz,404
Baldwin,,Attorney General,,Republican,Chris Carr (I),7708
Baldwin,,Attorney General,,Democrat,"Jennifer """"Jen"""" Jordan",6921
Baldwin,,Attorney General,,Libertarian,Martin Cowen,176
Baldwin,,Commissioner of Agriculture,,Republican,Tyler Harper,7853
Baldwin,,Commissioner of Agriculture,,Democrat,Nakita Hemingway,6684
Baldwin,,Commissioner of Agriculture,,Libertarian,David Raudabaugh,251
Baldwin,,Commissioner of Insurance,,Republican,John King (I),7918
Baldwin,,Commissioner of Insurance,,Democrat,Janice Laws Robinson,6800
Baldwin,,State School Superintendent,,Republican,Richard Woods (I),7987
Baldwin,,State School Superintendent,,Democrat,Alisha Thomas Searcy,6774
Baldwin,,Commissioner of Labor,,Republican,Bruce Thompson,7694
Baldwin,,Commissioner of Labor,,Democrat,"William """"Will"""" Boddie, Jr",6810
Baldwin,,Commissioner of Labor,,Libertarian,Emily Anderson,269
Banks,,U.S. Senate,,Republican,Herschel Junior Walker,6362
Banks,,U.S. Senate,,Democrat,Raphael Warnock (I),772
Banks,,U.S. Senate,,Libertarian,Chase Oliver,159
Banks,,Governor,,Republican,Brian Kemp (I),6651
Banks,,Governor,,Democrat,Stacey Abrams,607
Banks,,Governor,,Libertarian,Shane Hazel,68
Banks,,Lieutenant Governor,,Republican,Burt Jones,6494
Banks,,Lieutenant Governor,,Democrat,Charlie Bailey,679
Banks,,Lieutenant Governor,,Libertarian,Ryan Graham,120
Banks,,Secretary of State,,Republican,Brad Raffensperger (I),6304
Banks,,Secretary of State,,Democrat,Bee Nguyen,621
Banks,,Secretary of State,,Libertarian,Ted Metz,317
Banks,,Attorney General,,Republican,Chris Carr (I),6473
Banks,,Attorney General,,Democrat,"Jennifer """"Jen"""" Jordan",683
Banks,,Attorney General,,Libertarian,Martin Cowen,126
Banks,,Commissioner of Agriculture,,Republican,Tyler Harper,6575
Banks,,Commissioner of Agriculture,,Democrat,Nakita Hemingway,559
Banks,,Commissioner of Agriculture,,Libertarian,David Raudabaugh,151
Banks,,Commissioner of Insurance,,Republican,John King (I),6612
Banks,,Commissioner of Insurance,,Democrat,Janice Laws Robinson,657
Banks,,State School Superintendent,,Republican,Richard Woods (I),6617
Banks,,State School Superintendent,,Democrat,Alisha Thomas Searcy,650
Banks,,Commissioner of Labor,,Republican,Bruce Thompson,6521
Banks,,Commissioner of Labor,,Democrat,"William """"Will"""" Boddie, Jr",614
Banks,,Commissioner of Labor,,Libertarian,Emily Anderson,145
Barrow,,U.S. Senate,,Republican,Herschel Junior Walker,20136
Barrow,,U.S. Senate,,Democrat,Raphael Warnock (I),8244
Barrow,,U.S. Senate,,Libertarian,Chase Oliver,893
Barrow,,Governor,,Republican,Brian Kemp (I),21833
Barrow,,Governor,,Democrat,Stacey Abrams,7309
Barrow,,Governor,,Libertarian,Shane Hazel,288
Barrow,,Lieutenant Governor,,Republican,Burt Jones,20959
Barrow,,Lieutenant Governor,,Democrat,Charlie Bailey,7434
Barrow,,Lieutenant Governor,,Libertarian,Ryan Graham,828
Barrow,,Secretary of State,,Republican,Brad Raffensperger (I),20813
Barrow,,Secretary of State,,Democrat,Bee Nguyen,7109
Barrow,,Secretary of State,,Libertarian,Ted Metz,1227
Barrow,,Attorney General,,Republican,Chris Carr (I),21100
Barrow,,Attorney General,,Democrat,"Jennifer """"Jen"""" Jordan",7585
Barrow,,Attorney General,,Libertarian,Martin Cowen,595
Barrow,,Commissioner of Agriculture,,Republican,Tyler Harper,21397
Barrow,,Commissioner of Agriculture,,Democrat,Nakita Hemingway,6986
Barrow,,Commissioner of Agriculture,,Libertarian,David Raudabaugh,821
Barrow,,Commissioner of Insurance,,Republican,John King (I),21723
Barrow,,Commissioner of Insurance,,Democrat,Janice Laws Robinson,7403
Barrow,,State School Superintendent,,Republican,Richard Woods (I),21835
Barrow,,State School Superintendent,,Democrat,Alisha Thomas Searcy,7329
Barrow,,Commissioner of Labor,,Republican,Bruce Thompson,21081
Barrow,,Commissioner of Labor,,Democrat,"William """"Will"""" Boddie, Jr",7117
Barrow,,Commissioner of Labor,,Libertarian,Emily Anderson,954
Bartow,,U.S. Senate,,Republican,Herschel Junior Walker,29361
Bartow,,U.S. Senate,,Democrat,Raphael Warnock (I),9349
Bartow,,U.S. Senate,,Libertarian,Chase Oliver,1053
Bartow,,Governor,,Republican,Brian Kemp (I),31528
Bartow,,Governor,,Democrat,Stacey Abrams,8137
Bartow,,Governor,,Libertarian,Shane Hazel,332
Bartow,,Lieutenant Governor,,Republican,Burt Jones,30353
Bartow,,Lieutenant Governor,,Democrat,Charlie Bailey,8394
Bartow,,Lieutenant Governor,,Libertarian,Ryan Graham,936
Bartow,,Secretary of State,,Republican,Brad Raffensperger (I),30050
Bartow,,Secretary of State,,Democrat,Bee Nguyen,7883
Bartow,,Secretary of State,,Libertarian,Ted Metz,1636
Bartow,,Attorney General,,Republican,Chris Carr (I),30504
Bartow,,Attorney General,,Democrat,"Jennifer """"Jen"""" Jordan",8524
Bartow,,Attorney General,,Libertarian,Martin Cowen,720
Bartow,,Commissioner of Agriculture,,Republican,Tyler Harper,30892
Bartow,,Commissioner of Agriculture,,Democrat,Nakita Hemingway,7787
Bartow,,Commissioner of Agriculture,,Libertarian,David Raudabaugh,999
Bartow,,Commissioner of Insurance,,Republican,John King (I),31255
Bartow,,Commissioner of Insurance,,Democrat,Janice Laws Robinson,8312
Bartow,,State School Superintendent,,Republican,Richard Woods (I),31366
Bartow,,State School Superintendent,,Democrat,Alisha Thomas Searcy,8239
Bartow,,Commissioner of Labor,,Republican,Bruce Thompson,30279
Bartow,,Commissioner of Labor,,Democrat,"William """"Will"""" Boddie, Jr",8050
Bartow,,Commissioner of Labor,,Libertarian,Emily Anderson,1201
Ben Hill,,U.S. Senate,,Republican,Herschel Junior Walker,3235
Ben Hill,,U.S. Senate,,Democrat,Raphael Warnock (I),1767
Ben Hill,,U.S. Senate,,,Chase Oliver (L),73
Ben Hill,,Governor,,Republican,Brian Kemp (I),3412
Ben Hill,,Governor,,Democrat,Stacey Abrams,1680
Ben Hill,,Governor,,,Shane Hazel (L),26
Ben Hill,,Lieutenant Governor,,Republican,Burt Jones,3344
Ben Hill,,Lieutenant Governor,,Democrat,Charlie Bailey,1630
Ben Hill,,Lieutenant Governor,,,Ryan Graham (L),51
Ben Hill,,Secretary of State,,Republican,Brad Raffensperger (I),3326
Ben Hill,,Secretary of State,,Democrat,Bee Nguyen,1575
Ben Hill,,Secretary of State,,,Ted Metz (L),123
Ben Hill,,Attorney General,,Republican,Chris Carr (I),3324
Ben Hill,,Attorney General,,Democrat,"Jennifer """"Jen"""" Jordan",1677
Ben Hill,,Attorney General,,,Martin Cowen (L),59
Ben Hill,,Commissioner of Agriculture,,Republican,Tyler Harper,3472
Ben Hill,,Commissioner of Agriculture,,Democrat,Nakita Hemingway,1541
Ben Hill,,Commissioner of Agriculture,,,David Raudabaugh (L),50
Ben Hill,,Commissioner of Insurance,,Republican,John King (I),3366
Ben Hill,,Commissioner of Insurance,,Democrat,Janice Laws Robinson,1667
Ben Hill,,State School Superintendent,,Republican,Richard Woods (I),3445
Ben Hill,,State School Superintendent,,Democrat,Alisha Thomas Searcy,1618
Ben Hill,,Commissioner of Labor,,Republican,Bruce Thompson,3323
Ben Hill,,Commissioner of Labor,,Democrat,"William """"Will"""" Boddie, Jr",1656
Ben Hill,,Commissioner of Labor,,,Emily Anderson (L),79
Berrien,,U.S. Senate,,Republican,Herschel Junior Walker,5002
Berrien,,U.S. Senate,,Democrat,Raphael Warnock (I),909
Berrien,,U.S. Senate,,,Chase Oliver (L),79
Berrien,,Governor,,Republican,Brian Kemp (I),5209
Berrien,,Governor,,Democrat,Stacey Abrams,772
Berrien,,Governor,,,Shane Hazel (L),38
Berrien,,Lieutenant Governor,,Republican,Burt Jones,5072
Berrien,,Lieutenant Governor,,Democrat,Charlie Bailey,797
Berrien,,Lieutenant Governor,,,Ryan Graham (L),78
Berrien,,Secretary of State,,Republican,Brad Raffensperger (I),5007
Berrien,,Secretary of State,,Democrat,Bee Nguyen,715
Berrien,,Secretary of State,,,Ted Metz (L),191
Berrien,,Attorney General,,Republican,Chris Carr (I),5096
Berrien,,Attorney General,,Democrat,"Jennifer """"Jen"""" Jordan",816
Berrien,,Attorney General,,,Martin Cowen (L),60
Berrien,,Commissioner of Agriculture,,Republican,Tyler Harper,5204
Berrien,,Commissioner of Agriculture,,Democrat,Nakita Hemingway,700
Berrien,,Commissioner of Agriculture,,,David Raudabaugh (L),75
Berrien,,Commissioner of Insurance,,Republican,John King (I),5187
Berrien,,Commissioner of Insurance,,Democrat,Janice Laws Robinson,774
Berrien,,State School Superintendent,,Republican,Richard Woods (I),5185
Berrien,,State School Superintendent,,Democrat,Alisha Thomas Searcy,780
Berrien,,Commissioner of Labor,,Republican,Bruce Thompson,5109
Berrien,,Commissioner of Labor,,Democrat,"William """"Will"""" Boddie, Jr",770
Berrien,,Commissioner of Labor,,,Emily Anderson (L),80
Bibb,,U.S. Senate,,Republican,Herschel Junior Walker,20203
Bibb,,U.S. Senate,,Democrat,Raphael Warnock (I),33105
Bibb,,U.S. Senate,,Libertarian,Chase Oliver,699
Bibb,,Governor,,Republican,Brian Kemp (I),22396
Bibb,,Governor,,Democrat,Stacey Abrams,31514
Bibb,,Governor,,Libertarian,Shane Hazel,290
Bibb,,Lieutenant Governor,,Republican,Burt Jones,21538
Bibb,,Lieutenant Governor,,Democrat,Charlie Bailey,31264
Bibb,,Lieutenant Governor,,Libertarian,Ryan Graham,847
Bibb,,Secretary of State,,Republican,Brad Raffensperger (I),22543
Bibb,,Secretary of State,,Democrat,Bee Nguyen,30054
Bibb,,Secretary of State,,Libertarian,Ted Metz,1061
Bibb,,Attorney General,,Republican,Chris Carr (I),21538
Bibb,,Attorney General,,Democrat,"Jennifer """"Jen"""" Jordan",31582
Bibb,,Attorney General,,Libertarian,Martin Cowen,631
Bibb,,Commissioner of Agriculture,,Republican,Tyler Harper,21866
Bibb,,Commissioner of Agriculture,,Democrat,Nakita Hemingway,30768
Bibb,,Commissioner of Agriculture,,Libertarian,David Raudabaugh,935
Bibb,,Commissioner of Insurance,,Republican,John King (I),22290
Bibb,,Commissioner of Insurance,,Democrat,Janice Laws Robinson,31199
Bibb,,State School Superintendent,,Republican,Richard Woods (I),22509
Bibb,,State School Superintendent,,Democrat,Alisha Thomas Searcy,31116
Bibb,,Commissioner of Labor,,Republican,Bruce Thompson,21504
Bibb,,Commissioner of Labor,,Democrat,"William """"Will"""" Boddie, Jr",30879
Bibb,,Commissioner of Labor,,Libertarian,Emily Anderson,1093
Bleckley,,U.S. Senate,,Republican,Herschel Junior Walker,3675
Bleckley,,U.S. Senate,,Democrat,Raphael Warnock (I),1039
Bleckley,,U.S. Senate,,Libertarian,Chase Oliver,77
Bleckley,,Governor,,Republican,Brian Kemp (I),3886
Bleckley,,Governor,,Democrat,Stacey Abrams,883
Bleckley,,Governor,,Libertarian,Shane Hazel,36
Bleckley,,Lieutenant Governor,,Republican,Burt Jones,3770
Bleckley,,Lieutenant Governor,,Democrat,Charlie Bailey,902
Bleckley,,Lieutenant Governor,,Libertarian,Ryan Graham,90
Bleckley,,Secretary of State,,Republican,Brad Raffensperger (I),3723
Bleckley,,Secretary of State,,Democrat,Bee Nguyen,865
Bleckley,,Secretary of State,,Libertarian,Ted Metz,143
Bleckley,,Attorney General,,Republican,Chris Carr (I),3753
Bleckley,,Attorney General,,Democrat,"Jennifer """"Jen"""" Jordan",944
Bleckley,,Attorney General,,Libertarian,Martin Cowen,61
Bleckley,,Commissioner of Agriculture,,Republican,Tyler Harper,3813
Bleckley,,Commissioner of Agriculture,,Democrat,Nakita Hemingway,863
Bleckley,,Commissioner of Agriculture,,Libertarian,David Raudabaugh,85
Bleckley,,Commissioner of Insurance,,Republican,John King (I),3849
Bleckley,,Commissioner of Insurance,,Democrat,Janice Laws Robinson,903
Bleckley,,State School Superintendent,,Republican,Richard Woods (I),3866
Bleckley,,State School Superintendent,,Democrat,Alisha Thomas Searcy,895
Bleckley,,Commissioner of Labor,,Republican,Bruce Thompson,3770
Bleckley,,Commissioner of Labor,,Democrat,"William """"Will"""" Boddie, Jr",873
Bleckley,,Commissioner of Labor,,Libertarian,Emily Anderson,105
Brantley,,U.S. Senate,,Republican,Herschel Junior Walker,5275
Brantley,,U.S. Senate,,Democrat,Raphael Warnock (I),477
Brantley,,U.S. Senate,,,Chase Oliver (L),94
Brantley,,Governor,,Republican,Brian Kemp (I),5416
Brantley,,Governor,,Democrat,Stacey Abrams,393
Brantley,,Governor,,,Shane Hazel (L),50
Brantley,,Lieutenant Governor,,Republican,Burt Jones,5334
Brantley,,Lieutenant Governor,,Democrat,Charlie Bailey,415
Brantley,,Lieutenant Governor,,,Ryan Graham (L),67
Brantley,,Secretary of State,,Republican,Brad Raffensperger (I),5205
Brantley,,Secretary of State,,Democrat,Bee Nguyen,384
Brantley,,Secretary of State,,,Ted Metz (L),196
Brantley,,Attorney General,,Republican,Chris Carr (I),5298
Brantley,,Attorney General,,Democrat,"Jennifer """"Jen"""" Jordan",459
Brantley,,Attorney General,,,Martin Cowen (L),71
Brantley,,Commissioner of Agriculture,,Republican,Tyler Harper,5352
Brantley,,Commissioner of Agriculture,,Democrat,Nakita Hemingway,400
Brantley,,Commissioner of Agriculture,,,David Raudabaugh (L),68
Brantley,,Commissioner of Insurance,,Republican,John King (I),5354
Brantley,,Commissioner of Insurance,,Democrat,Janice Laws Robinson,450
Brantley,,State School Superintendent,,Republican,Richard Woods (I),5378
Brantley,,State School Superintendent,,Democrat,Alisha Thomas Searcy,444
Brantley,,Commissioner of Labor,,Republican,Bruce Thompson,5310
Brantley,,Commissioner of Labor,,Democrat,"William """"Will"""" Boddie, Jr",425
Brantley,,Commissioner of Labor,,,Emily Anderson (L),82
Brooks,,U.S. Senate,,Republican,Herschel Junior Walker,3528
Brooks,,U.S. Senate,,Democrat,Raphael Warnock (I),1999
Brooks,,U.S. Senate,,,Chase Oliver (L),77
Brooks,,Governor,,Republican,Brian Kemp (I),3644
Brooks,,Governor,,Democrat,Stacey Abrams,1959
Brooks,,Governor,,,Shane Hazel (L),39
Brooks,,Lieutenant Governor,,Republican,Burt Jones,3551
Brooks,,Lieutenant Governor,,Democrat,Charlie Bailey,1882
Brooks,,Lieutenant Governor,,,Ryan Graham (L),82
Brooks,,Secretary of State,,Republican,Brad Raffensperger (I),3582
Brooks,,Secretary of State,,Democrat,Bee Nguyen,1790
Brooks,,Secretary of State,,,Ted Metz (L),141
Brooks,,Attorney General,,Republican,Chris Carr (I),3567
Brooks,,Attorney General,,Democrat,"Jennifer """"Jen"""" Jordan",1911
Brooks,,Attorney General,,,Martin Cowen (L),55
Brooks,,Commissioner of Agriculture,,Republican,Tyler Harper,3610
Brooks,,Commissioner of Agriculture,,Democrat,Nakita Hemingway,1845
Brooks,,Commissioner of Agriculture,,,David Raudabaugh (L),92
Brooks,,Commissioner of Insurance,,Republican,John King (I),3624
Brooks,,Commissioner of Insurance,,Democrat,Janice Laws Robinson,1892
Brooks,,State School Superintendent,,Republican,Richard Woods (I),3650
Brooks,,State School Superintendent,,Democrat,Alisha Thomas Searcy,1890
Brooks,,Commissioner of Labor,,Republican,Bruce Thompson,3576
Brooks,,Commissioner of Labor,,Democrat,"William """"Will"""" Boddie, Jr",1869
Brooks,,Commissioner of Labor,,,Emily Anderson (L),93
Bryan,,U.S. Senate,,Republican,Herschel Junior Walker,11143
Bryan,,U.S. Senate,,Democrat,Raphael Warnock (I),5404
Bryan,,U.S. Senate,,Libertarian,Chase Oliver,379
Bryan,,Governor,,Republican,Brian Kemp (I),12188
Bryan,,Governor,,Democrat,Stacey Abrams,4676
Bryan,,Governor,,Libertarian,Shane Hazel,142
Bryan,,Lieutenant Governor,,Republican,Burt Jones,11742
Bryan,,Lieutenant Governor,,Democrat,Charlie Bailey,4736
Bryan,,Lieutenant Governor,,Libertarian,Ryan Graham,371
Bryan,,Secretary of State,,Republican,Brad Raffensperger (I),11924
Bryan,,Secretary of State,,Democrat,Bee Nguyen,4361
Bryan,,Secretary of State,,Libertarian,Ted Metz,562
Bryan,,Attorney General,,Republican,Chris Carr (I),11734
Bryan,,Attorney General,,Democrat,"Jennifer """"Jen"""" Jordan",4835
Bryan,,Attorney General,,Libertarian,Martin Cowen,289
Bryan,,Commissioner of Agriculture,,Republican,Tyler Harper,11830
Bryan,,Commissioner of Agriculture,,Democrat,Nakita Hemingway,4529
Bryan,,Commissioner of Agriculture,,Libertarian,David Raudabaugh,437
Bryan,,Commissioner of Insurance,,Republican,John King (I),12074
Bryan,,Commissioner of Insurance,,Democrat,Janice Laws Robinson,4671
Bryan,,State School Superintendent,,Republican,Richard Woods (I),12089
Bryan,,State School Superintendent,,Democrat,Alisha Thomas Searcy,4698
Bryan,,Commissioner of Labor,,Republican,Bruce Thompson,11669
Bryan,,Commissioner of Labor,,Democrat,"William """"Will"""" Boddie, Jr",4610
Bryan,,Commissioner of Labor,,Libertarian,Emily Anderson,485
Bulloch,,U.S. Senate,,Republican,Herschel Junior Walker,14858
Bulloch,,U.S. Senate,,Democrat,Raphael Warnock (I),8195
Bulloch,,U.S. Senate,,Libertarian,Chase Oliver,416
Bulloch,,Governor,,Republican,Brian Kemp (I),16067
Bulloch,,Governor,,Democrat,Stacey Abrams,7352
Bulloch,,Governor,,Libertarian,Shane Hazel,172
Bulloch,,Lieutenant Governor,,Republican,Burt Jones,15487
Bulloch,,Lieutenant Governor,,Democrat,Charlie Bailey,7311
Bulloch,,Lieutenant Governor,,Libertarian,Ryan Graham,473
Bulloch,,Secretary of State,,Republican,Brad Raffensperger (I),15769
Bulloch,,Secretary of State,,Democrat,Bee Nguyen,6797
Bulloch,,Secretary of State,,Libertarian,Ted Metz,691
Bulloch,,Attorney General,,Republican,Chris Carr (I),15569
Bulloch,,Attorney General,,Democrat,"Jennifer """"Jen"""" Jordan",7423
Bulloch,,Attorney General,,Libertarian,Martin Cowen,339
Bulloch,,Commissioner of Agriculture,,Republican,Tyler Harper,15825
Bulloch,,Commissioner of Agriculture,,Democrat,Nakita Hemingway,6995
Bulloch,,Commissioner of Agriculture,,Libertarian,David Raudabaugh,456
Bulloch,,Commissioner of Insurance,,Republican,John King (I),15961
Bulloch,,Commissioner of Insurance,,Democrat,Janice Laws Robinson,7260
Bulloch,,State School Superintendent,,Republican,Richard Woods (I),16010
Bulloch,,State School Superintendent,,Democrat,Alisha Thomas Searcy,7263
Bulloch,,Commissioner of Labor,,Republican,Bruce Thompson,15544
Bulloch,,Commissioner of Labor,,Democrat,"William """"Will"""" Boddie, Jr",7161
Bulloch,,Commissioner of Labor,,Libertarian,Emily Anderson,541
Burke,,U.S. Senate,,Republican,Herschel Junior Walker,4462
Burke,,U.S. Senate,,Democrat,Raphael Warnock (I),3885
Burke,,U.S. Senate,,Libertarian,Chase Oliver,102
Burke,,Governor,,Republican,Brian Kemp (I),4685
Burke,,Governor,,Democrat,Stacey Abrams,3720
Burke,,Governor,,Libertarian,Shane Hazel,62
Burke,,Lieutenant Governor,,Republican,Burt Jones,4566
Burke,,Lieutenant Governor,,Democrat,Charlie Bailey,3593
Burke,,Lieutenant Governor,,Libertarian,Ryan Graham,136
Burke,,Secretary of State,,Republican,Brad Raffensperger (I),4575
Burke,,Secretary of State,,Democrat,Bee Nguyen,3515
Burke,,Secretary of State,,Libertarian,Ted Metz,190
Burke,,Attorney General,,Republican,Chris Carr (I),4561
Burke,,Attorney General,,Democrat,"Jennifer """"Jen"""" Jordan",3692
Burke,,Attorney General,,Libertarian,Martin Cowen,97
Burke,,Commissioner of Agriculture,,Republican,Tyler Harper,4598
Burke,,Commissioner of Agriculture,,Democrat,Nakita Hemingway,3609
Burke,,Commissioner of Agriculture,,Libertarian,David Raudabaugh,127
Burke,,Commissioner of Insurance,,Republican,John King (I),4632
Burke,,Commissioner of Insurance,,Democrat,Janice Laws Robinson,3669
Burke,,State School Superintendent,,Republican,Richard Woods (I),4687
Burke,,State School Superintendent,,Democrat,Alisha Thomas Searcy,3639
Burke,,Commissioner of Labor,,Republican,Bruce Thompson,4540
Burke,,Commissioner of Labor,,Democrat,"William """"Will"""" Boddie, Jr",3641
Burke,,Commissioner of Labor,,Libertarian,Emily Anderson,148
Butts,,U.S. Senate,,Republican,Herschel Junior Walker,6784
Butts,,U.S. Senate,,Democrat,Raphael Warnock (I),2666
Butts,,U.S. Senate,,Libertarian,Chase Oliver,182
Butts,,Governor,,Republican,Brian Kemp (I),7223
Butts,,Governor,,Democrat,Stacey Abrams,2420
