county,precinct,office,district,party,candidate,total_votes
Appling,1B,U.S. Senate (Special),,Republican,Derrick E. Grayson,15
Appling,1B,U.S. Senate (Special),,Independent,Michael Todd Greene,2
Appling,1B,U.S. Senate (Special),,Republican,Annette Davis Jackson,8
Appling,1B,U.S. Senate (Special),,Democrat,Deborah Jackson,16
Appling,1B,U.S. Senate (Special),,Democrat,Jamesia James,2
Appling,1B,U.S. Senate (Special),,Republican,A. Wayne Johnson,15
Appling,1B,U.S. Senate (Special),,Democrat,Tamara Johnson-Shealey,7
Appling,1B,U.S. Senate (Special),,Democrat,Matt Lieberman,6
Appling,1B,U.S. Senate (Special),,Republican,Kelly Loeffler (I),271
Appling,1B,U.S. Senate (Special),,Democrat,Joy Felicia Slade,1
Appling,1B,U.S. Senate (Special),,Libertarian,Brian Slowinski,3
Appling,1B,U.S. Senate (Special),,Independent,Valencia Stovall,0
Appling,1B,U.S. Senate (Special),,Democrat,Ed Tarver,1
Appling,1B,U.S. Senate (Special),,Republican,Kandiss Taylor,255
Appling,1B,U.S. Senate (Special),,Democrat,Raphael Warnock,72
Appling,1B,U.S. Senate (Special),,Democrat,Richard Dien Winfield,5
Appling,1C,U.S. Senate (Special),,Independent,Al Bartell,0
Appling,1C,U.S. Senate (Special),,Independent,Allen Buckley,2
Appling,1C,U.S. Senate (Special),,Republican,Doug Collins,216
Appling,1C,U.S. Senate (Special),,,John Fortuin (Grn),1
Appling,1C,U.S. Senate (Special),,Republican,Derrick E. Grayson,12
Appling,1C,U.S. Senate (Special),,Independent,Michael Todd Greene,1
Appling,1C,U.S. Senate (Special),,Republican,Annette Davis Jackson,3
Appling,1C,U.S. Senate (Special),,Democrat,Deborah Jackson,6
Appling,1C,U.S. Senate (Special),,Democrat,Jamesia James,4
Appling,1C,U.S. Senate (Special),,Republican,A. Wayne Johnson,6
Appling,1C,U.S. Senate (Special),,Democrat,Tamara Johnson-Shealey,1
Appling,1C,U.S. Senate (Special),,Democrat,Matt Lieberman,2
Appling,1C,U.S. Senate (Special),,Republican,Kelly Loeffler (I),141
Appling,1C,U.S. Senate (Special),,Democrat,Joy Felicia Slade,0
Appling,1C,U.S. Senate (Special),,Libertarian,Brian Slowinski,1
Appling,1C,U.S. Senate (Special),,Independent,Valencia Stovall,0
Appling,1C,U.S. Senate (Special),,Democrat,Ed Tarver,0
Appling,1C,U.S. Senate (Special),,Republican,Kandiss Taylor,200
Appling,1C,U.S. Senate (Special),,Democrat,Raphael Warnock,27
Appling,1C,U.S. Senate (Special),,Democrat,Richard Dien Winfield,1
Appling,2,U.S. Senate (Special),,Independent,Al Bartell,6
Appling,2,U.S. Senate (Special),,Independent,Allen Buckley,2
Appling,2,U.S. Senate (Special),,Republican,Doug Collins,171
Appling,2,U.S. Senate (Special),,,John Fortuin (Grn),7
Appling,2,U.S. Senate (Special),,Republican,Derrick E. Grayson,13
Appling,2,U.S. Senate (Special),,Independent,Michael Todd Greene,4
Appling,2,U.S. Senate (Special),,Republican,Annette Davis Jackson,10
Appling,2,U.S. Senate (Special),,Democrat,Deborah Jackson,172
Appling,2,U.S. Senate (Special),,Democrat,Jamesia James,48
Appling,2,U.S. Senate (Special),,Republican,A. Wayne Johnson,7
Appling,2,U.S. Senate (Special),,Democrat,Tamara Johnson-Shealey,22
Appling,2,U.S. Senate (Special),,Democrat,Matt Lieberman,43
Appling,2,U.S. Senate (Special),,Republican,Kelly Loeffler (I),145
Appling,2,U.S. Senate (Special),,Democrat,Joy Felicia Slade,16
Appling,2,U.S. Senate (Special),,Libertarian,Brian Slowinski,3
Appling,2,U.S. Senate (Special),,Independent,Valencia Stovall,0
Appling,2,U.S. Senate (Special),,Democrat,Ed Tarver,3
Appling,2,U.S. Senate (Special),,Republican,Kandiss Taylor,175
Appling,2,U.S. Senate (Special),,Democrat,Raphael Warnock,559
Appling,2,U.S. Senate (Special),,Democrat,Richard Dien Winfield,9
Appling,3A1,U.S. Senate (Special),,Independent,Al Bartell,0
Appling,3A1,U.S. Senate (Special),,Independent,Allen Buckley,1
Appling,3A1,U.S. Senate (Special),,Republican,Doug Collins,239
Appling,3A1,U.S. Senate (Special),,,John Fortuin (Grn),0
Appling,3A1,U.S. Senate (Special),,Republican,Derrick E. Grayson,8
Appling,3A1,U.S. Senate (Special),,Independent,Michael Todd Greene,0
Appling,3A1,U.S. Senate (Special),,Republican,Annette Davis Jackson,3
Appling,3A1,U.S. Senate (Special),,Democrat,Deborah Jackson,2
Appling,3A1,U.S. Senate (Special),,Democrat,Jamesia James,0
Appling,3A1,U.S. Senate (Special),,Republican,A. Wayne Johnson,7
Appling,3A1,U.S. Senate (Special),,Democrat,Tamara Johnson-Shealey,1
Appling,3A1,U.S. Senate (Special),,Democrat,Matt Lieberman,0
Appling,3A1,U.S. Senate (Special),,Republican,Kelly Loeffler (I),179
Appling,3A1,U.S. Senate (Special),,Democrat,Joy Felicia Slade,0
Appling,3A1,U.S. Senate (Special),,Libertarian,Brian Slowinski,2
Appling,3A1,U.S. Senate (Special),,Independent,Valencia Stovall,0
Appling,3A1,U.S. Senate (Special),,Democrat,Ed Tarver,0
Appling,3A1,U.S. Senate (Special),,Republican,Kandiss Taylor,142
Appling,3A1,U.S. Senate (Special),,Democrat,Raphael Warnock,12
Appling,3A1,U.S. Senate (Special),,Democrat,Richard Dien Winfield,1
Appling,3C,U.S. Senate (Special),,Independent,Al Bartell,2
Appling,3C,U.S. Senate (Special),,Independent,Allen Buckley,3
Appling,3C,U.S. Senate (Special),,Republican,Doug Collins,324
Appling,3C,U.S. Senate (Special),,,John Fortuin (Grn),2
Appling,3C,U.S. Senate (Special),,Republican,Derrick E. Grayson,10
Appling,3C,U.S. Senate (Special),,Independent,Michael Todd Greene,3
Appling,3C,U.S. Senate (Special),,Republican,Annette Davis Jackson,6
Appling,3C,U.S. Senate (Special),,Democrat,Deborah Jackson,50
Appling,3C,U.S. Senate (Special),,Democrat,Jamesia James,15
Appling,3C,U.S. Senate (Special),,Republican,A. Wayne Johnson,2
Appling,3C,U.S. Senate (Special),,Democrat,Tamara Johnson-Shealey,11
Appling,3C,U.S. Senate (Special),,Democrat,Matt Lieberman,18
Appling,3C,U.S. Senate (Special),,Republican,Kelly Loeffler (I),191
Appling,3C,U.S. Senate (Special),,Democrat,Joy Felicia Slade,7
Appling,3C,U.S. Senate (Special),,Libertarian,Brian Slowinski,4
Appling,3C,U.S. Senate (Special),,Independent,Valencia Stovall,2
Appling,3C,U.S. Senate (Special),,Democrat,Ed Tarver,2
Appling,3C,U.S. Senate (Special),,Republican,Kandiss Taylor,298
Appling,3C,U.S. Senate (Special),,Democrat,Raphael Warnock,156
Appling,3C,U.S. Senate (Special),,Democrat,Richard Dien Winfield,3
Appling,4B,U.S. Senate (Special),,Independent,Al Bartell,1
Appling,4B,U.S. Senate (Special),,Independent,Allen Buckley,1
Appling,4B,U.S. Senate (Special),,Republican,Doug Collins,206
Appling,4B,U.S. Senate (Special),,,John Fortuin (Grn),0
Appling,4B,U.S. Senate (Special),,Republican,Derrick E. Grayson,5
Appling,4B,U.S. Senate (Special),,Independent,Michael Todd Greene,1
Appling,4B,U.S. Senate (Special),,Republican,Annette Davis Jackson,8
Appling,4B,U.S. Senate (Special),,Democrat,Deborah Jackson,2
Appling,4B,U.S. Senate (Special),,Democrat,Jamesia James,1
Appling,4B,U.S. Senate (Special),,Republican,A. Wayne Johnson,9
Appling,4B,U.S. Senate (Special),,Democrat,Tamara Johnson-Shealey,0
Appling,4B,U.S. Senate (Special),,Democrat,Matt Lieberman,3
Appling,4B,U.S. Senate (Special),,Republican,Kelly Loeffler (I),241
Appling,4B,U.S. Senate (Special),,Democrat,Joy Felicia Slade,2
Appling,4B,U.S. Senate (Special),,Libertarian,Brian Slowinski,0
Appling,4B,U.S. Senate (Special),,Independent,Valencia Stovall,0
Appling,4B,U.S. Senate (Special),,Democrat,Ed Tarver,0
Appling,4B,U.S. Senate (Special),,Republican,Kandiss Taylor,172
Appling,4B,U.S. Senate (Special),,Democrat,Raphael Warnock,12
Appling,4B,U.S. Senate (Special),,Democrat,Richard Dien Winfield,0
Appling,4D,U.S. Senate (Special),,Independent,Al Bartell,3
Appling,4D,U.S. Senate (Special),,Independent,Allen Buckley,4
Appling,4D,U.S. Senate (Special),,Republican,Doug Collins,395
Appling,4D,U.S. Senate (Special),,,John Fortuin (Grn),0
Appling,4D,U.S. Senate (Special),,Republican,Derrick E. Grayson,6
Appling,4D,U.S. Senate (Special),,Independent,Michael Todd Greene,0
Appling,4D,U.S. Senate (Special),,Republican,Annette Davis Jackson,4
Appling,4D,U.S. Senate (Special),,Democrat,Deborah Jackson,20
Appling,4D,U.S. Senate (Special),,Democrat,Jamesia James,4
Appling,4D,U.S. Senate (Special),,Republican,A. Wayne Johnson,6
Appling,4D,U.S. Senate (Special),,Democrat,Tamara Johnson-Shealey,3
Appling,4D,U.S. Senate (Special),,Democrat,Matt Lieberman,2
Appling,4D,U.S. Senate (Special),,Republican,Kelly Loeffler (I),261
Appling,4D,U.S. Senate (Special),,Democrat,Joy Felicia Slade,4
Appling,4D,U.S. Senate (Special),,Libertarian,Brian Slowinski,2
Appling,4D,U.S. Senate (Special),,Independent,Valencia Stovall,1
Appling,4D,U.S. Senate (Special),,Democrat,Ed Tarver,4
Appling,4D,U.S. Senate (Special),,Republican,Kandiss Taylor,359
Appling,4D,U.S. Senate (Special),,Democrat,Raphael Warnock,72
Appling,4D,U.S. Senate (Special),,Democrat,Richard Dien Winfield,1
Appling,5A,U.S. Senate (Special),,Independent,Al Bartell,5
Appling,5A,U.S. Senate (Special),,Independent,Allen Buckley,2
Appling,5A,U.S. Senate (Special),,Republican,Doug Collins,256
Appling,5A,U.S. Senate (Special),,,John Fortuin (Grn),2
Appling,5A,U.S. Senate (Special),,Republican,Derrick E. Grayson,11
Appling,5A,U.S. Senate (Special),,Independent,Michael Todd Greene,3
Appling,5A,U.S. Senate (Special),,Republican,Annette Davis Jackson,5
Appling,5A,U.S. Senate (Special),,Democrat,Deborah Jackson,14
Appling,5A,U.S. Senate (Special),,Democrat,Jamesia James,9
Appling,5A,U.S. Senate (Special),,Republican,A. Wayne Johnson,6
Appling,5A,U.S. Senate (Special),,Democrat,Tamara Johnson-Shealey,4
Appling,5A,U.S. Senate (Special),,Democrat,Matt Lieberman,7
Appling,5A,U.S. Senate (Special),,Republican,Kelly Loeffler (I),170
Appling,5A,U.S. Senate (Special),,Democrat,Joy Felicia Slade,3
Appling,5A,U.S. Senate (Special),,Libertarian,Brian Slowinski,6
Appling,5A,U.S. Senate (Special),,Independent,Valencia Stovall,2
Appling,5A,U.S. Senate (Special),,Democrat,Ed Tarver,0
Appling,5A,U.S. Senate (Special),,Republican,Kandiss Taylor,229
Appling,5A,U.S. Senate (Special),,Democrat,Raphael Warnock,65
Appling,5A,U.S. Senate (Special),,Democrat,Richard Dien Winfield,1
Appling,5B,U.S. Senate (Special),,Independent,Al Bartell,1
Appling,5B,U.S. Senate (Special),,Independent,Allen Buckley,3
Appling,5B,U.S. Senate (Special),,Republican,Doug Collins,259
Appling,5B,U.S. Senate (Special),,,John Fortuin (Grn),2
Appling,5B,U.S. Senate (Special),,Republican,Derrick E. Grayson,9
Appling,5B,U.S. Senate (Special),,Independent,Michael Todd Greene,1
Appling,5B,U.S. Senate (Special),,Republican,Annette Davis Jackson,4
Appling,5B,U.S. Senate (Special),,Democrat,Deborah Jackson,24
Appling,5B,U.S. Senate (Special),,Democrat,Jamesia James,5
Appling,5B,U.S. Senate (Special),,Republican,A. Wayne Johnson,6
Appling,5B,U.S. Senate (Special),,Democrat,Tamara Johnson-Shealey,5
Appling,5B,U.S. Senate (Special),,Democrat,Matt Lieberman,4
Appling,5B,U.S. Senate (Special),,Republican,Kelly Loeffler (I),208
Appling,5B,U.S. Senate (Special),,Democrat,Joy Felicia Slade,8
Appling,5B,U.S. Senate (Special),,Libertarian,Brian Slowinski,2
Appling,5B,U.S. Senate (Special),,Independent,Valencia Stovall,2
Appling,5B,U.S. Senate (Special),,Democrat,Ed Tarver,1
Appling,5B,U.S. Senate (Special),,Republican,Kandiss Taylor,200
Appling,5B,U.S. Senate (Special),,Democrat,Raphael Warnock,76
Appling,5B,U.S. Senate (Special),,Democrat,Richard Dien Winfield,4
Atkinson,Pearson County,President,,Republican,Donald J. Trump (I),1026
Atkinson,Pearson County,President,,Democrat,Joseph R. Biden,160
Atkinson,Pearson County,President,,Libertarian,Jo Jorgensen,11
Atkinson,Axson,President,,Republican,Donald J. Trump (I),479
Atkinson,Axson,President,,Democrat,Joseph R. Biden,45
Atkinson,Axson,President,,Libertarian,Jo Jorgensen,3
Atkinson,Willacoochee,President,,Republican,Donald J. Trump (I),566
Atkinson,Willacoochee,President,,Democrat,Joseph R. Biden,291
Atkinson,Willacoochee,President,,Libertarian,Jo Jorgensen,10
Atkinson,Pearson City,President,,Republican,Donald J. Trump (I),229
Atkinson,Pearson City,President,,Democrat,Joseph R. Biden,329
Atkinson,Pearson City,President,,Libertarian,Jo Jorgensen,6
Atkinson,Pearson County,U.S. Senate,,Republican,David A. Perdue (I),1008
Atkinson,Pearson County,U.S. Senate,,Democrat,Jon Ossoff,164
Atkinson,Pearson County,U.S. Senate,,Libertarian,Shane Hazel,13
Atkinson,Axson,U.S. Senate,,Republican,David A. Perdue (I),461
Atkinson,Axson,U.S. Senate,,Democrat,Jon Ossoff,46
Atkinson,Axson,U.S. Senate,,Libertarian,Shane Hazel,10
Atkinson,Willacoochee,U.S. Senate,,Republican,David A. Perdue (I),565
Atkinson,Willacoochee,U.S. Senate,,Democrat,Jon Ossoff,270
Atkinson,Willacoochee,U.S. Senate,,Libertarian,Shane Hazel,17
Atkinson,Pearson City,U.S. Senate,,Republican,David A. Perdue (I),238
Atkinson,Pearson City,U.S. Senate,,Democrat,Jon Ossoff,293
Atkinson,Pearson City,U.S. Senate,,Libertarian,Shane Hazel,12
Atkinson,Pearson County,U.S. Senate (Special),,Independent,Al Bartell,5
Atkinson,Pearson County,U.S. Senate (Special),,Independent,Allen Buckley,7
Atkinson,Pearson County,U.S. Senate (Special),,Republican,Doug Collins,450
Atkinson,Pearson County,U.S. Senate (Special),,,John Fortuin (Grn),2
Atkinson,Pearson County,U.S. Senate (Special),,Republican,Derrick E. Grayson,20
Atkinson,Pearson County,U.S. Senate (Special),,Independent,Michael Todd Greene,2
Atkinson,Pearson County,U.S. Senate (Special),,Republican,Annette Davis Jackson,15
Atkinson,Pearson County,U.S. Senate (Special),,Democrat,Deborah Jackson,33
Atkinson,Pearson County,U.S. Senate (Special),,Democrat,Jamesia James,10
Atkinson,Pearson County,U.S. Senate (Special),,Republican,A. Wayne Johnson,11
Atkinson,Pearson County,U.S. Senate (Special),,Democrat,Tamara Johnson-Shealey,10
Atkinson,Pearson County,U.S. Senate (Special),,Democrat,Matt Lieberman,16
Atkinson,Pearson County,U.S. Senate (Special),,Republican,Kelly Loeffler (I),442
Atkinson,Pearson County,U.S. Senate (Special),,Democrat,Joy Felicia Slade,4
Atkinson,Pearson County,U.S. Senate (Special),,Libertarian,Brian Slowinski,5
Atkinson,Pearson County,U.S. Senate (Special),,Independent,Valencia Stovall,2
Atkinson,Pearson County,U.S. Senate (Special),,Democrat,Ed Tarver,4
Atkinson,Pearson County,U.S. Senate (Special),,Republican,Kandiss Taylor,24
Atkinson,Pearson County,U.S. Senate (Special),,Democrat,Raphael Warnock,74
Atkinson,Pearson County,U.S. Senate (Special),,Democrat,Richard Dien Winfield,9
Atkinson,Axson,U.S. Senate (Special),,Independent,Al Bartell,2
Atkinson,Axson,U.S. Senate (Special),,Independent,Allen Buckley,3
Atkinson,Axson,U.S. Senate (Special),,Republican,Doug Collins,244
Atkinson,Axson,U.S. Senate (Special),,,John Fortuin (Grn),1
Atkinson,Axson,U.S. Senate (Special),,Republican,Derrick E. Grayson,12
Atkinson,Axson,U.S. Senate (Special),,Independent,Michael Todd Greene,3
Atkinson,Axson,U.S. Senate (Special),,Republican,Annette Davis Jackson,3
Atkinson,Axson,U.S. Senate (Special),,Democrat,Deborah Jackson,10
Atkinson,Axson,U.S. Senate (Special),,Democrat,Jamesia James,1
Atkinson,Axson,U.S. Senate (Special),,Republican,A. Wayne Johnson,4
Atkinson,Axson,U.S. Senate (Special),,Democrat,Tamara Johnson-Shealey,1
Atkinson,Axson,U.S. Senate (Special),,Democrat,Matt Lieberman,7
Atkinson,Axson,U.S. Senate (Special),,Republican,Kelly Loeffler (I),166
Atkinson,Axson,U.S. Senate (Special),,Democrat,Joy Felicia Slade,1
Atkinson,Axson,U.S. Senate (Special),,Libertarian,Brian Slowinski,3
Atkinson,Axson,U.S. Senate (Special),,Independent,Valencia Stovall,0
Atkinson,Axson,U.S. Senate (Special),,Democrat,Ed Tarver,1
Atkinson,Axson,U.S. Senate (Special),,Republican,Kandiss Taylor,14
Atkinson,Axson,U.S. Senate (Special),,Democrat,Raphael Warnock,19
Atkinson,Axson,U.S. Senate (Special),,Democrat,Richard Dien Winfield,1
Atkinson,Willacoochee,U.S. Senate (Special),,Independent,Al Bartell,3
Atkinson,Willacoochee,U.S. Senate (Special),,Independent,Allen Buckley,7
Atkinson,Willacoochee,U.S. Senate (Special),,Republican,Doug Collins,249
Atkinson,Willacoochee,U.S. Senate (Special),,,John Fortuin (Grn),2
Atkinson,Willacoochee,U.S. Senate (Special),,Republican,Derrick E. Grayson,14
Atkinson,Willacoochee,U.S. Senate (Special),,Independent,Michael Todd Greene,1
Atkinson,Willacoochee,U.S. Senate (Special),,Republican,Annette Davis Jackson,10
Atkinson,Willacoochee,U.S. Senate (Special),,Democrat,Deborah Jackson,51
Atkinson,Willacoochee,U.S. Senate (Special),,Democrat,Jamesia James,15
Atkinson,Willacoochee,U.S. Senate (Special),,Republican,A. Wayne Johnson,8
Atkinson,Willacoochee,U.S. Senate (Special),,Democrat,Tamara Johnson-Shealey,16
Atkinson,Willacoochee,U.S. Senate (Special),,Democrat,Matt Lieberman,22
Atkinson,Willacoochee,U.S. Senate (Special),,Republican,Kelly Loeffler (I),238
Atkinson,Willacoochee,U.S. Senate (Special),,Democrat,Joy Felicia Slade,2
Atkinson,Willacoochee,U.S. Senate (Special),,Libertarian,Brian Slowinski,2
Atkinson,Willacoochee,U.S. Senate (Special),,Independent,Valencia Stovall,1
Atkinson,Willacoochee,U.S. Senate (Special),,Democrat,Ed Tarver,2
Atkinson,Willacoochee,U.S. Senate (Special),,Republican,Kandiss Taylor,20
Atkinson,Willacoochee,U.S. Senate (Special),,Democrat,Raphael Warnock,156
Atkinson,Willacoochee,U.S. Senate (Special),,Democrat,Richard Dien Winfield,9
Atkinson,Pearson City,U.S. Senate (Special),,Independent,Al Bartell,5
Atkinson,Pearson City,U.S. Senate (Special),,Independent,Allen Buckley,5
Atkinson,Pearson City,U.S. Senate (Special),,Republican,Doug Collins,95
Atkinson,Pearson City,U.S. Senate (Special),,,John Fortuin (Grn),0
Atkinson,Pearson City,U.S. Senate (Special),,Republican,Derrick E. Grayson,9
Atkinson,Pearson City,U.S. Senate (Special),,Independent,Michael Todd Greene,3
Atkinson,Pearson City,U.S. Senate (Special),,Republican,Annette Davis Jackson,10
Atkinson,Pearson City,U.S. Senate (Special),,Democrat,Deborah Jackson,55
Atkinson,Pearson City,U.S. Senate (Special),,Democrat,Jamesia James,16
Atkinson,Pearson City,U.S. Senate (Special),,Republican,A. Wayne Johnson,13
Atkinson,Pearson City,U.S. Senate (Special),,Democrat,Tamara Johnson-Shealey,26
Atkinson,Pearson City,U.S. Senate (Special),,Democrat,Matt Lieberman,11
Atkinson,Pearson City,U.S. Senate (Special),,Republican,Kelly Loeffler (I),100
Atkinson,Pearson City,U.S. Senate (Special),,Democrat,Joy Felicia Slade,8
Atkinson,Pearson City,U.S. Senate (Special),,Libertarian,Brian Slowinski,0
Atkinson,Pearson City,U.S. Senate (Special),,Independent,Valencia Stovall,3
Atkinson,Pearson City,U.S. Senate (Special),,Democrat,Ed Tarver,1
Atkinson,Pearson City,U.S. Senate (Special),,Republican,Kandiss Taylor,5
Atkinson,Pearson City,U.S. Senate (Special),,Democrat,Raphael Warnock,157
Atkinson,Pearson City,U.S. Senate (Special),,Democrat,Richard Dien Winfield,4
Bacon,Douglas,President,,Republican,Donald J. Trump (I),4018
Bacon,Douglas,President,,Democrat,Joseph R. Biden,625
Bacon,Douglas,President,,Libertarian,Jo Jorgensen,25
Bacon,Douglas,U.S. Senate,,Republican,David A. Perdue (I),3929
Bacon,Douglas,U.S. Senate,,Democrat,Jon Ossoff,591
Bacon,Douglas,U.S. Senate,,Libertarian,Shane Hazel,70
Bacon,Douglas,U.S. Senate (Special),,Independent,Al Bartell,8
Bacon,Douglas,U.S. Senate (Special),,Independent,Allen Buckley,13
Bacon,Douglas,U.S. Senate (Special),,Republican,Doug Collins,1646
Bacon,Douglas,U.S. Senate (Special),,,John Fortuin (Grn),10
Bacon,Douglas,U.S. Senate (Special),,Republican,Derrick E. Grayson,93
Bacon,Douglas,U.S. Senate (Special),,Independent,Michael Todd Greene,9
Bacon,Douglas,U.S. Senate (Special),,Republican,Annette Davis Jackson,46
Bacon,Douglas,U.S. Senate (Special),,Democrat,Deborah Jackson,105
Bacon,Douglas,U.S. Senate (Special),,Democrat,Jamesia James,39
Bacon,Douglas,U.S. Senate (Special),,Republican,A. Wayne Johnson,86
Bacon,Douglas,U.S. Senate (Special),,Democrat,Tamara Johnson-Shealey,35
Bacon,Douglas,U.S. Senate (Special),,Democrat,Matt Lieberman,49
Bacon,Douglas,U.S. Senate (Special),,Republican,Kelly Loeffler (I),1547
Bacon,Douglas,U.S. Senate (Special),,Democrat,Joy Felicia Slade,12
Bacon,Douglas,U.S. Senate (Special),,Libertarian,Brian Slowinski,12
Bacon,Douglas,U.S. Senate (Special),,Independent,Valencia Stovall,3
Bacon,Douglas,U.S. Senate (Special),,Democrat,Ed Tarver,7
Bacon,Douglas,U.S. Senate (Special),,Republican,Kandiss Taylor,462
Bacon,Douglas,U.S. Senate (Special),,Democrat,Raphael Warnock,315
Bacon,Douglas,U.S. Senate (Special),,Democrat,Richard Dien Winfield,15
Baker,Anna,President,,Republican,Donald J. Trump (I),93
Baker,Anna,President,,Democrat,Joseph R. Biden,31
Baker,Anna,President,,Libertarian,Jo Jorgensen,0
Baker,Elmodel,President,,Republican,Donald J. Trump (I),141
Baker,Elmodel,President,,Democrat,Joseph R. Biden,148
Baker,Elmodel,President,,Libertarian,Jo Jorgensen,0
Baker,Hoggards Mill,President,,Republican,Donald J. Trump (I),120
Baker,Hoggards Mill,President,,Democrat,Joseph R. Biden,111
Baker,Hoggards Mill,President,,Libertarian,Jo Jorgensen,3
Baker,Milford,President,,Republican,Donald J. Trump (I),137
Baker,Milford,President,,Democrat,Joseph R. Biden,69
Baker,Milford,President,,Libertarian,Jo Jorgensen,0
Baker,Newton,President,,Republican,Donald J. Trump (I),406
Baker,Newton,President,,Democrat,Joseph R. Biden,293
Baker,Newton,President,,Libertarian,Jo Jorgensen,3
Baker,Anna,U.S. Senate,,Republican,David A. Perdue (I),94
Baker,Anna,U.S. Senate,,Democrat,Jon Ossoff,28
Baker,Anna,U.S. Senate,,Libertarian,Shane Hazel,0
Baker,Elmodel,U.S. Senate,,Republican,David A. Perdue (I),136
Baker,Elmodel,U.S. Senate,,Democrat,Jon Ossoff,147
Baker,Elmodel,U.S. Senate,,Libertarian,Shane Hazel,4
Baker,Hoggards Mill,U.S. Senate,,Republican,David A. Perdue (I),114
Baker,Hoggards Mill,U.S. Senate,,Democrat,Jon Ossoff,115
Baker,Hoggards Mill,U.S. Senate,,Libertarian,Shane Hazel,1
Baker,Milford,U.S. Senate,,Republican,David A. Perdue (I),135
Baker,Milford,U.S. Senate,,Democrat,Jon Ossoff,65
Baker,Milford,U.S. Senate,,Libertarian,Shane Hazel,0
Baker,Newton,U.S. Senate,,Republican,David A. Perdue (I),394
Baker,Newton,U.S. Senate,,Democrat,Jon Ossoff,293
Baker,Newton,U.S. Senate,,Libertarian,Shane Hazel,8
Baker,Anna,U.S. Senate (Special),,Independent,Al Bartell,1
Baker,Anna,U.S. Senate (Special),,Independent,Allen Buckley,0
Baker,Anna,U.S. Senate (Special),,Republican,Doug Collins,31
