precinct_id,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
MONTGOMERY - 05,2654,57,2588,1233,1163,11,23,0,31,64,78,0,0,89,23,1227,2089,36,2048,951,977,11,13,0,23,3,85,0,0,98,13,981
MONTGOMERY - 06,446,46,394,401,2,0,0,0,1,0,0,0,0,0,0,2,372,24,342,337,3,0,0,0,0,0,0,0,0,0,0,3
MONTGOMERY - 07,1500,201,1302,1007,223,0,16,0,0,20,0,0,1,2,16,244,1191,144,1050,829,176,0,9,0,0,0,6,0,2,7,9,180
MORGAN - 01,4349,0,4349,2448,1653,0,0,0,0,0,28,0,13,35,0,1663,3435,0,3430,1934,1369,2,0,0,0,0,24,0,11,30,0,1377
MORGAN - 02,4020,121,3902,3222,717,0,20,0,0,84,0,0,0,0,20,801,3083,108,2976,2468,543,0,20,0,0,28,0,0,0,0,20,570
MORGAN - 03,4181,98,4081,3048,872,0,0,0,0,0,0,18,0,6,18,871,3311,99,3217,2563,536,4,0,0,0,0,0,9,0,12,9,537
MORGAN - 04,4127,166,3961,3198,697,0,35,0,0,0,87,13,0,89,48,697,3304,115,3194,2605,510,3,38,0,0,0,62,0,0,65,38,512
MORGAN - 05,4118,275,3842,3554,419,0,0,0,0,0,9,0,0,7,0,423,2992,53,2933,2687,320,0,0,4,0,0,10,0,0,9,0,321
MURRAY - 1013,4384,425,3900,3636,96,0,8,0,56,17,52,0,0,51,7,118,3412,220,3159,2973,91,0,4,0,38,8,43,0,0,43,4,100
MURRAY - 1039,5119,1297,3822,3729,0,0,38,0,0,0,38,17,0,38,55,0,3752,751,3001,2924,0,0,37,0,0,0,40,0,0,40,37,0
MURRAY - 1291,6067,188,5878,5827,0,5,0,27,5,0,14,0,0,18,0,0,4624,144,4484,4426,0,0,0,30,0,0,18,0,0,17,0,1
MURRAY - 1895,6237,1439,4765,4635,6,0,25,68,0,0,11,0,0,12,25,5,4703,759,3908,3769,11,0,27,66,0,0,17,0,0,18,27,12
MURRAY - 824,9986,1296,8816,8221,160,13,37,0,130,257,83,0,0,96,38,414,7509,697,6889,6554,147,11,27,0,52,67,80,0,0,90,27,211
MURRAY - 872,3519,192,3294,3234,0,0,0,5,0,4,21,0,0,22,0,3,2828,145,2671,2632,0,0,0,4,4,0,12,0,0,13,0,0
MURRAY - 874,3555,27,3528,3476,0,0,0,31,0,0,21,0,0,21,0,0,2625,0,2625,2588,0,0,0,19,0,0,18,0,0,18,0,0
MUSCOGEE - 101,7133,218,6904,2161,4525,0,73,38,21,26,52,17,0,53,80,4553,5551,171,5373,1796,3377,4,69,38,19,25,36,10,3,41,79,3415
MUSCOGEE - 102,5707,203,5492,463,4771,0,26,0,0,240,0,0,0,0,26,5016,4285,54,4236,434,3758,0,26,0,0,12,5,0,0,5,26,3773
